序号, 基金代码, 基金名称, 最新净值日期, 最新净值, 最新回撤, 相对于历史最大回撤,阈值区间,--,成立以来最大回撤, 最大回撤净值, 最大回撤周期,--, 历史最高日期, 历史最高日净值, 备注
1, '006567, 中泰星元灵活配置混合A (006567), 2022-07-18, 2.3974, -4.03%, 24.77%, , , -16.27%, 1.2971 -> 1.0861, 2020-01-13 -> 2020-03-23, , 2022-04-08, 2.4982, 无历史分红, 
2, '006624, 中泰玉衡价值优选混合A (006624), 2022-07-18, 2.1272, -3.66%, 21.37%, , , -17.13%, 1.1112 -> 0.9208, 2020-01-13 -> 2020-03-23, , 2022-04-08, 2.2081, 无历史分红, 
3, '003834, 华夏能源革新股票A (003834), 2022-07-18, 3.818, -11.42%, 28.51%, , , -40.05%, 1.226 -> 0.735, 2017-09-11 -> 2018-10-16, , 2021-09-15, 4.31, 无历史分红, 
4, '011229, 创金合信数字经济主题股票A (011229), 2022-07-18, 1.5318, -8.88%, 33.31%, , , -26.66%, 1.681 -> 1.2329, 2021-12-31 -> 2022-04-26, , 2021-12-31, 1.681, 无历史分红, 
5, '162202, 泰达宏利周期混合 (162202), 2022-07-18, 4.1414, -0.78%, 1.49%, , , -52.4%, 2.1251 -> 0.5731, 2007-10-16 -> 2008-11-04, , 2022-07-07, 4.1738, 有历史分红, 
6, '001856, 易方达环保主题混合 (001856), 2022-07-18, 4.573, -1.78%, 4.85%, , , -36.69%, 4.609 -> 2.918, 2021-10-27 -> 2022-04-26, , 2022-07-07, 4.656, 无历史分红, 
7, '001300, 大成睿景灵活配置混合A (001300), 2022-07-18, 2.322, -12.58%, 26.37%, , , -47.7%, 1.0 -> 0.523, 2015-05-26 -> 2018-10-18, , 2021-12-31, 2.656, 无历史分红, 
8, '001907, 国投瑞银境煊灵活配置混合A (001907), 2022-07-18, 3.2814, -5.24%, 21.6%, , , -24.26%, 3.4629 -> 2.6229, 2022-01-04 -> 2022-04-26, , 2022-01-04, 3.4629, 无历史分红, 
9, '012079, 信澳新能源精选混合 (012079), 2022-07-18, 1.6247, -9.36%, 20.93%, , , -44.72%, 1.7725 -> 0.9799, 2021-08-31 -> 2022-04-26, , 2022-07-07, 1.7924, 无历史分红, 
10, '004475, 华泰柏瑞富利混合A (004475), 2022-07-18, 1.7372, -3.55%, 10.16%, , , -34.94%, 1.0847 -> 0.7057, 2018-01-26 -> 2019-01-02, , 2022-06-28, 1.8012, 无历史分红, 
11, '000828, 泰达转型机遇股票A (000828), 2022-07-18, 3.483, -14.33%, 23.18%, , , -61.83%, 1.598 -> 0.609, 2015-06-03 -> 2018-10-18, , 2021-10-29, 4.067, 有历史分红, 
12, '000729, 建信中小盘先锋股票A (000729), 2022-07-18, 4.345, -0.84%, 1.58%, , , -53.18%, 2.249 -> 1.053, 2015-06-12 -> 2019-01-03, , 2022-07-05, 4.382, 无历史分红, 
13, '012148, 国投瑞银产业趋势混合A (012148), 2022-07-18, 1.5007, -21.45%, 42.46%, , , -50.52%, 1.9106 -> 0.9454, 2021-09-15 -> 2022-04-26, , 2021-09-15, 1.9106, 无历史分红, 
